Title,Link
"Trump and Harris are deadlocked -  could an October surprise change the game?With one month to go, any unexpected event could help sway this close race for the White House.11 hrs agoUS & Canada",https://www.bbc.com/news/articles/cz04n1kg1d4o
"Time stood still, Trump says at site of assassination attemptDonald Trump invited tech billionaire Elon Musk to the stage to join him attacking his Democratic opponent.11 hrs agoUS & Canada",https://www.bbc.com/news/articles/c70w909znl6o
Setback for black student suspended over dreadlocksDarryl George was suspended from his Houston-area high school over his dreadlocks.17 hrs agoUS & Canada,https://www.bbc.com/news/articles/c1wn91xn87zo
"The racist AI deepfake that fooled and divided a communityAlmost a year after a fake clip of a high school principal went viral, the impact on an American town lingers.1 day agoUS & Canada",https://www.bbc.com/news/articles/ckg9k5dv1zdo
We married for £100 with 99 other couples and wouldn't change a thingTo mark a centenary of ceremonies Old Marylebone Town Hall married 100 couples for £100.11 hrs agoUK,https://www.bbc.com/news/articles/c0e1dgqg442o
"Time stood still, Trump says at site of assassination attemptDonald Trump invited tech billionaire Elon Musk to the stage to join him attacking his Democratic opponent.11 hrs agoUS & Canada",https://www.bbc.com/news/articles/c70w909znl6o
Tool promised to help non-verbal people - but did it manipulate them instead?Experts say a tool supposedly helping nonverbal people speak is prompting false criminal allegations.10 hrs agoWorld,https://www.bbc.com/news/articles/czj94xwwkkzo
"Israeli strikes on Gaza mosque and school kill 26, health ministry saysDozens were also reported injured in the strikes, which Israel said were targeting Hamas.1 hr agoMiddle East",https://www.bbc.com/news/articles/c0jwv16qwqjo
Setback for black student suspended over dreadlocksDarryl George was suspended from his Houston-area high school over his dreadlocks.17 hrs agoUS & Canada,https://www.bbc.com/news/articles/c1wn91xn87zo
Tunisia's president seeks new term with one candidate in jail8 hrs agoWorld,https://www.bbc.com/news/articles/cj9jwxxejkvo
Dolly Parton announces $1m donation to Hurricane Helene recovery23 hrs agoUS & Canada,https://www.bbc.com/news/articles/cpdq65185qdo
Macron calls to halt arms deliveries to Israel in Gaza war8 hrs agoWorld,https://www.bbc.com/news/articles/cjr3zd4d8y5o
Maldives to seek bailout from India despite strained ties3 hrs ago,https://www.bbc.com/news/articles/c2ek1x3p7rjo
